index,text,created_at,retweet_count
,San Francisco May Ban Homeless Encampments and Then Bus Them Out of the City https://t.co/dGO3sJX3lK via @truthout,2016-07-12 19:48:54,0
,RT @ChicagoCityDSA: Millions of Americans cannot be involved in their own government due to their homeless status #TrySocialism #poverty ht…,2016-07-12 19:34:35,0
,"Crystal Shepeard, Care2: In November, voters will vote on several measures focused on the homeless situation. One... https://t.co/k6di0Eeu1Y",2016-07-12 19:32:57,0
,"What's it like being young, homeless, and transgender in a gentrifying San Francisco? https://t.co/6Fzvt0Qgzh https://t.co/UhmXcaott2",2016-07-12 19:31:06,1
,Seen and not heard: homeless people absent from election even as ranks grow https://t.co/50B6rT53fn,2016-07-12 19:23:46,0
,RT @B_Ehrenreich: .@PGannawayPhoto documents the lives of homeless LGBTQ teenagers in San Francisco https://t.co/nP8cJlKC2p https://t.co/Be…,2016-07-12 19:15:53,0
,RT @TitleExaminer4u: Lava Mae is turning old buses into bathrooms and showers for the homeless  https://t.co/dhvu7wehBc,2016-07-12 18:32:00,0
,"RT @DonStClairJr: San Fran finds it's cheaper to provide housing ✔️ and health services ✔️

Now, what about Jobs⁉️. #JG 

https://t.co/W4rb…",2016-07-12 18:29:41,0
,RT @PReMIUMucsf: Thousands living on San Francisco's streets in dire need of comprehensive integrated primary and mental health care. https…,2016-07-12 18:11:05,0
,"RT @willmenaker: Given the huge popularity of Pokémon Go, couldn't someone develop a similar game to track and catch San Francisco's homele…",2016-07-12 17:44:34,0
,Why a Running Club for the Homeless Is Heading to San Francisco https://t.co/8gv7BISd0c,2016-07-12 17:40:27,0
,RT @IU_CDRP: Media unites to highlight San Francisco #homeless crisis | #documentary #socialjustice  https://t.co/aKSxbZWbaP https://t.co/N…,2016-07-12 17:26:59,0
,Media unites to highlight San Francisco #homeless crisis | #documentary #socialjustice  https://t.co/aKSxbZWbaP https://t.co/NnVA7cFqV6,2016-07-12 17:11:03,1
,"RT @willmenaker: Given the huge popularity of Pokémon Go, couldn't someone develop a similar game to track and catch San Francisco's homele…",2016-07-12 16:31:16,0
,"San Francisco May Ban Homeless Encampments and Then Bus Them Out of the City
by @ClearlyCrystalB of @truthout... https://t.co/X6hUX1tDEh",2016-07-12 16:28:06,0
,"RT @willmenaker: Given the huge popularity of Pokémon Go, couldn't someone develop a similar game to track and catch San Francisco's homele…",2016-07-12 16:11:35,0
,RT @866OURVOTE: U think that homeless people have #votingrights? How would you make it happen? https://t.co/mcQa9PXLyJ #Election2016 via @G…,2016-07-12 15:51:16,0
,U think that homeless people have #votingrights? How would you make it happen? https://t.co/mcQa9PXLyJ #Election2016 via @GuardianUS,2016-07-12 15:45:14,1
